                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.0724,                 4.7132,                 4.1963,                0.55462,                0.30976,                 0.2828,                0.14797,                 4.3739,                 4.5684,                 5.6323,             0.00034895,             0.00034895,             0.00034895
                     36,                 3.0622,                 4.7072,                 4.1846,                0.52423,                 0.2934,                0.28647,                0.16024,                 4.3758,                 4.5655,                 5.6157,             0.00034374,             0.00034374,             0.00034374
                     37,                 3.0324,                 4.6409,                 4.1572,                0.50329,                0.29122,                0.26862,                0.15281,                 4.2091,                 4.5887,                 5.4155,             0.00033853,             0.00033853,             0.00033853
                     38,                 3.0099,                 4.6215,                 4.1286,                0.45851,                0.32444,                0.30117,                0.17196,                 4.1019,                 4.3568,                 5.3759,             0.00033333,             0.00033333,             0.00033333
                     39,                 2.9589,                 4.5381,                 4.1105,                0.45464,                0.31837,                0.29123,                 0.1667,                 4.2628,                 4.3809,                 5.5966,             0.00032812,             0.00032812,             0.00032812
                     40,                 2.9871,                 4.5353,                 4.1078,                0.49609,                0.31385,                 0.2902,                0.16347,                 4.1644,                 4.3208,                 5.4575,             0.00032291,             0.00032291,             0.00032291
                     41,                 2.9777,                 4.5378,                  4.085,                0.49254,                 0.3305,                0.28775,                0.17215,                 4.0852,                 4.1345,                 5.4074,              0.0003177,              0.0003177,              0.0003177
                     42,                 2.9602,                 4.4646,                 4.0833,                0.53713,                0.30115,                 0.3042,                0.17547,                 4.2261,                 4.3625,                 5.4727,              0.0003125,              0.0003125,              0.0003125
                     43,                 2.9748,                 4.4686,                 4.0906,                0.44063,                 0.3373,                0.29682,                0.17216,                 4.1682,                 4.2426,                 5.4624,             0.00030729,             0.00030729,             0.00030729
                     44,                 2.9251,                 4.4315,                 4.0641,                0.50144,                0.32809,                0.32093,                0.18171,                 4.1254,                 4.2124,                 5.4295,             0.00030208,             0.00030208,             0.00030208
                     45,                 2.9429,                 4.3961,                 4.0556,                0.51134,                0.33094,                0.31431,                 0.1811,                 4.1686,                 4.1284,                  5.461,             0.00029687,             0.00029687,             0.00029687
                     46,                 2.9341,                 4.4272,                 4.0435,                0.55398,                0.33919,                0.31799,                0.18745,                 4.0871,                  4.034,                 5.4305,             0.00029167,             0.00029167,             0.00029167
                     47,                 2.9081,                 4.3974,                 4.0326,                0.44618,                0.32777,                0.30715,                0.17809,                 4.2923,                 4.0772,                 5.6255,             0.00028646,             0.00028646,             0.00028646
                     48,                 2.8757,                 4.3086,                 4.0069,                0.46111,                0.31655,                0.32803,                0.19236,                 4.1288,                 4.0681,                 5.3969,             0.00028125,             0.00028125,             0.00028125
                     49,                 2.8761,                 4.3226,                  3.999,                0.44134,                 0.3312,                0.31704,                0.19573,                 4.0817,                  4.051,                 5.4474,             0.00027604,             0.00027604,             0.00027604
                     50,                 2.9057,                 4.2965,                 4.0127,                0.52299,                0.33796,                0.33398,                0.19832,                 4.1129,                 4.0541,                  5.505,             0.00027084,             0.00027084,             0.00027084
                     51,                 2.8527,                  4.224,                 3.9653,                0.56012,                0.31825,                0.33481,                0.20145,                   4.22,                 4.0481,                 5.5845,             0.00026563,             0.00026563,             0.00026563
                     52,                 2.8864,                  4.275,                 3.9862,                0.46888,                0.34839,                0.33442,                0.19803,                  4.112,                 3.9705,                 5.6107,             0.00026042,             0.00026042,             0.00026042
                     53,                 2.8431,                 4.2457,                 3.9661,                0.47166,                 0.3495,                0.33833,                0.20243,                 4.1028,                 3.9632,                 5.5619,             0.00025522,             0.00025522,             0.00025522
                     54,                  2.832,                 4.2057,                 3.9652,                 0.4598,                0.34908,                0.33606,                0.20503,                 4.1226,                 3.9503,                 5.5425,             0.00025001,             0.00025001,             0.00025001
                     55,                 2.8195,                 4.1202,                 3.9295,                 0.4715,                0.34944,                0.34348,                  0.214,                 4.0591,                 3.8418,                  5.492,              0.0002448,              0.0002448,              0.0002448
                     56,                   2.85,                 4.1795,                 3.9447,                0.53528,                0.34204,                0.33947,                0.21347,                 4.0832,                  3.852,                 5.4818,             0.00023959,             0.00023959,             0.00023959
                     57,                 2.8008,                 4.0969,                 3.9062,                0.47526,                0.35149,                0.34483,                0.20943,                 4.0455,                 3.7984,                 5.4802,             0.00023439,             0.00023439,             0.00023439
                     58,                 2.8122,                 4.0943,                 3.9289,                0.49789,                0.34986,                0.34123,                0.20247,                 4.0181,                 3.9496,                 5.3833,             0.00022918,             0.00022918,             0.00022918
                     59,                 2.8085,                 4.1019,                 3.9285,                 0.4473,                0.35774,                0.33265,                 0.2069,                 3.9868,                 3.7913,                 5.3923,             0.00022397,             0.00022397,             0.00022397
                     60,                 2.7997,                  4.088,                 3.9177,                0.48969,                0.34045,                0.34954,                0.21742,                 4.0077,                 3.7736,                 5.4288,             0.00021876,             0.00021876,             0.00021876
                     61,                 2.7852,                 4.1023,                 3.9016,                0.49219,                0.35044,                0.36358,                0.22608,                  3.912,                 3.7412,                 5.3609,             0.00021356,             0.00021356,             0.00021356
                     62,                 2.7698,                 4.0545,                 3.8955,                  0.486,                0.32916,                0.34526,                0.21727,                 3.9989,                 3.7854,                 5.3974,             0.00020835,             0.00020835,             0.00020835
                     63,                 2.7468,                 4.0171,                 3.8769,                0.51325,                0.35977,                 0.3603,                0.22367,                 3.9019,                 3.7682,                 5.2962,             0.00020314,             0.00020314,             0.00020314
                     64,                 2.7564,                 4.0152,                 3.8702,                0.47976,                0.35205,                0.36187,                0.22774,                 3.9611,                 3.7978,                 5.2958,             0.00019793,             0.00019793,             0.00019793
                     65,                 2.7329,                 3.9924,                 3.8553,                0.47703,                0.35988,                0.35999,                0.22733,                 3.9155,                 3.7768,                 5.3724,             0.00019273,             0.00019273,             0.00019273
                     66,                 2.7347,                 4.0076,                   3.87,                 0.4618,                0.37057,                0.36876,                0.23256,                 3.9119,                 3.7149,                  5.354,             0.00018752,             0.00018752,             0.00018752
                     67,                  2.733,                 3.9579,                  3.857,                0.46099,                0.34945,                0.36402,                 0.2324,                 3.9264,                 3.7046,                 5.3745,             0.00018231,             0.00018231,             0.00018231
                     68,                 2.7422,                 3.9647,                 3.8437,                0.58109,                0.32336,                0.36141,                0.22899,                 4.0013,                 3.6983,                 5.4346,              0.0001771,              0.0001771,              0.0001771
                     69,                  2.721,                 3.9266,                 3.8393,                0.49318,                0.37732,                0.37529,                0.23823,                 3.8533,                 3.6486,                 5.2959,              0.0001719,              0.0001719,              0.0001719
                     70,                 2.7151,                 3.9475,                  3.836,                 0.4875,                0.40454,                0.37961,                0.24685,                 3.8352,                  3.608,                 5.2655,             0.00016669,             0.00016669,             0.00016669
                     71,                 2.7175,                 3.9561,                 3.8375,                0.49896,                0.37209,                0.36773,                 0.2326,                 3.8787,                 3.7245,                 5.2728,             0.00016148,             0.00016148,             0.00016148
                     72,                 2.6753,                 3.9186,                 3.8067,                0.45762,                0.38426,                0.36871,                0.23309,                  3.919,                 3.6012,                 5.4547,             0.00015627,             0.00015627,             0.00015627
                     73,                 2.6859,                 3.8875,                 3.8016,                0.48026,                 0.3743,                0.36975,                0.23515,                 3.8906,                 3.6059,                 5.3876,             0.00015107,             0.00015107,             0.00015107
                     74,                 2.6842,                 3.8934,                 3.8018,                0.47621,                0.38357,                0.37271,                0.23918,                  3.871,                 3.5838,                 5.3698,             0.00014586,             0.00014586,             0.00014586
                     75,                 2.6979,                 3.8976,                 3.8048,                0.55467,                0.36923,                 0.3775,                0.24449,                 3.8682,                  3.576,                 5.4064,             0.00014065,             0.00014065,             0.00014065
                     76,                 2.6566,                 3.8357,                 3.7785,                0.49407,                0.39104,                0.38745,                0.25338,                 3.8088,                  3.545,                 5.3034,             0.00013544,             0.00013544,             0.00013544
                     77,                 2.6362,                 3.7925,                 3.7551,                0.53488,                0.37422,                0.38684,                0.24607,                 3.8643,                 3.5347,                 5.3523,             0.00013024,             0.00013024,             0.00013024
                     78,                  2.644,                 3.8028,                 3.7788,                0.52537,                0.39493,                0.39809,                0.25645,                 3.8776,                 3.5787,                 5.3852,             0.00012503,             0.00012503,             0.00012503
                     79,                 2.6545,                 3.8384,                 3.7903,                0.58426,                0.39163,                 0.3883,                0.25127,                 3.9013,                 3.5356,                 5.3849,             0.00011982,             0.00011982,             0.00011982
                     80,                 2.6419,                 3.8273,                 3.7731,                0.50868,                0.35884,                 0.3917,                0.25323,                 3.8584,                 3.5031,                 5.3441,             0.00011462,             0.00011462,             0.00011462
                     81,                 2.6533,                 3.7901,                 3.7647,                  0.485,                0.38763,                0.38588,                0.25229,                 3.7916,                 3.5393,                 5.2899,             0.00010941,             0.00010941,             0.00010941
                     82,                 2.6379,                 3.7855,                 3.7501,                0.49775,                0.37462,                0.38362,                0.24729,                 3.8616,                 3.6005,                 5.3385,              0.0001042,              0.0001042,              0.0001042
                     83,                 2.6121,                 3.7216,                 3.7398,                0.42281,                0.39339,                0.38897,                0.25025,                 3.8391,                 3.5134,                 5.3647,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                 2.6308,                 3.7849,                 3.7494,                0.50388,                 0.3918,                0.39307,                 0.2579,                 3.7917,                  3.504,                 5.3244,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     85,                 2.6247,                 3.7558,                 3.7401,                0.50063,                0.38893,                0.39404,                0.25685,                 3.8086,                 3.5259,                 5.2817,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                 2.6185,                 3.7483,                 3.7486,                0.49804,                0.39515,                0.38498,                0.25122,                 3.8372,                 3.5351,                 5.3227,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                  2.613,                 3.7425,                 3.7409,                0.41235,                0.40048,                0.38826,                0.25786,                 3.7634,                 3.5345,                 5.2402,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                 2.6133,                  3.732,                  3.724,                 0.4331,                0.40072,                0.40654,                0.26344,                 3.7814,                  3.429,                 5.3018,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                 2.5853,                 3.7054,                 3.7181,                0.42126,                 0.4091,                0.39787,                0.25886,                 3.7767,                 3.4825,                 5.2838,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                 2.6028,                 3.7497,                 3.7218,                0.44053,                0.40955,                0.40007,                0.26405,                  3.726,                 3.4929,                 5.2454,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                 2.5044,                 3.5759,                 3.6919,                0.43703,                0.36531,                0.38169,                0.25451,                 3.8737,                 3.5869,                 5.5742,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                 2.4057,                 3.1854,                 3.5869,                0.43344,                0.36782,                0.40189,                0.26551,                 3.8563,                 3.5207,                 5.5674,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                 2.3443,                 3.0353,                 3.5559,                0.44255,                0.38303,                0.40711,                0.27443,                 3.7598,                 3.4883,                 5.4341,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                  2.323,                  2.981,                 3.5322,                 0.4495,                0.39119,                0.40727,                0.27299,                 3.7624,                 3.4575,                 5.4932,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                 2.3136,                 2.9404,                 3.5011,                0.44284,                0.40206,                0.41716,                0.28147,                 3.7313,                 3.4223,                 5.4782,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                 2.2757,                  2.884,                 3.4676,                0.43125,                0.41441,                0.41495,                0.28123,                 3.7242,                  3.396,                 5.4821,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                 2.2936,                 2.8956,                 3.5116,                0.43031,                0.39583,                0.41137,                0.28269,                 3.7594,                 3.4044,                 5.5698,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                 2.2745,                 2.8678,                 3.4754,                0.42467,                0.41869,                0.41954,                0.28619,                 3.7087,                 3.4052,                 5.4875,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                  2.249,                 2.8476,                 3.4761,                0.40983,                0.43467,                0.41969,                 0.2863,                  3.697,                 3.3996,                 5.4581,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    100,                 2.2382,                 2.8246,                 3.4529,                0.41514,                0.43567,                0.42273,                0.28705,                 3.7098,                 3.3881,                 5.4916,             1.0467e-05,             1.0467e-05,             1.0467e-05
