                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.42903,                 0.4243,                0.08373,                 0.8536,                0.84895,                0.88394,                0.56123,                0.46463,                0.46693,                0.10769,             0.00034374,             0.00034374,             0.00034374
                     37,                0.44079,                0.42328,                0.08285,                0.83294,                0.86721,                0.89257,                 0.5548,                0.46194,                0.46229,                0.10903,             0.00033853,             0.00033853,             0.00033853
                     38,                0.43664,                0.42563,                0.08528,                0.83062,                0.87266,                0.90262,                0.56571,                0.45852,                0.46572,                0.10691,             0.00033333,             0.00033333,             0.00033333
                     39,                0.42934,                0.41985,                0.08026,                0.84929,                0.85429,                0.89398,                0.56905,                0.45426,                0.45618,                0.10399,             0.00032812,             0.00032812,             0.00032812
                     40,                0.42295,                0.41613,                0.08013,                0.86163,                0.84033,                0.89993,                0.56981,                0.46056,                0.45951,                 0.1099,             0.00032291,             0.00032291,             0.00032291
                     41,                0.42754,                 0.4175,                0.08164,                 0.8606,                0.87284,                0.89362,                0.56655,                0.46656,                0.46877,                0.11036,              0.0003177,              0.0003177,              0.0003177
                     42,                0.43365,                0.41498,                0.08206,                0.87266,                 0.8559,                0.90098,                0.56849,                0.46332,                0.45658,                0.10991,              0.0003125,              0.0003125,              0.0003125
                     43,                 0.4333,                0.41468,                0.08044,                0.81813,                0.85758,                0.88782,                 0.5748,                0.46173,                0.45794,                0.10811,             0.00030729,             0.00030729,             0.00030729
                     44,                0.42378,                0.41525,                0.08214,                0.81894,                0.87701,                0.88834,                0.56466,                0.46252,                0.47251,                0.10738,             0.00030208,             0.00030208,             0.00030208
                     45,                0.42148,                0.41419,                0.08064,                0.86276,                0.85921,                0.90176,                0.57691,                0.45702,                0.45814,                0.10666,             0.00029687,             0.00029687,             0.00029687
                     46,                0.41469,                0.41375,                0.07991,                0.87701,                0.83461,                 0.8894,                0.56492,                0.46596,                0.45666,                0.11222,             0.00029167,             0.00029167,             0.00029167
                     47,                0.41711,                0.41462,                0.08122,                0.87814,                0.82029,                0.88597,                0.56581,                0.46089,                0.45221,                0.11007,             0.00028646,             0.00028646,             0.00028646
                     48,                0.42528,                 0.4133,                0.07847,                0.82828,                0.86328,                0.87745,                 0.5533,                 0.4631,                0.47025,                0.10932,             0.00028125,             0.00028125,             0.00028125
                     49,                0.41072,                0.40798,                0.07949,                0.87195,                0.85904,                0.89207,                0.56917,                0.45881,                0.45738,                0.10822,             0.00027604,             0.00027604,             0.00027604
                     50,                0.41369,                0.40892,                0.08058,                0.85967,                0.86066,                 0.8926,                0.56598,                0.46525,                0.45599,                0.11025,             0.00027084,             0.00027084,             0.00027084
                     51,                 0.4178,                0.41022,                0.07946,                 0.8449,                0.85543,                 0.8908,                0.57071,                0.46062,                0.45937,                0.10836,             0.00026563,             0.00026563,             0.00026563
                     52,                0.41753,                0.41269,                0.07937,                  0.876,                0.86081,                0.91064,                0.58374,                0.45979,                0.45429,                0.10886,             0.00026042,             0.00026042,             0.00026042
                     53,                0.40929,                0.40749,                  0.077,                0.87958,                0.84226,                 0.9081,                0.57943,                0.45833,                0.45085,                0.10919,             0.00025522,             0.00025522,             0.00025522
                     54,                 0.4011,                0.40464,                0.07635,                0.86513,                 0.8662,                0.90922,                0.57153,                0.45338,                0.45094,                0.11093,             0.00025001,             0.00025001,             0.00025001
                     55,                0.40802,                 0.4053,                 0.0739,                0.86469,                0.86523,                0.90288,                0.58009,                0.45619,                0.46021,                0.10984,              0.0002448,              0.0002448,              0.0002448
                     56,                0.39421,                0.40354,                0.07387,                0.83969,                0.87619,                0.90765,                0.58858,                0.46347,                0.44954,                0.11073,             0.00023959,             0.00023959,             0.00023959
                     57,                0.40629,                0.40517,                  0.072,                0.86263,                0.86375,                 0.9059,                0.57894,                 0.4624,                0.45724,                0.10849,             0.00023439,             0.00023439,             0.00023439
