                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 2.9698,                 2.2641,                 2.1117,                0.65732,                0.60097,                0.64889,                0.38209,                 2.9698,                  1.918,                 2.1229,              0.0004531,              0.0004531,              0.0004531
                     16,                 2.9587,                  2.228,                 2.1066,                 0.6468,                0.57685,                 0.6333,                0.38648,                 2.9348,                 1.9621,                 2.0795,             0.00044789,             0.00044789,             0.00044789
                     17,                 2.9207,                 2.1419,                 2.0793,                0.67734,                0.59061,                0.65307,                0.39363,                 2.9219,                 1.8562,                 2.1144,             0.00044268,             0.00044268,             0.00044268
                     18,                 2.9327,                 2.1193,                 2.0925,                0.67674,                0.63527,                0.67722,                0.40871,                 2.9945,                 1.9003,                 2.1256,             0.00043747,             0.00043747,             0.00043747
                     19,                 2.9438,                 2.1169,                 2.0945,                0.69358,                0.61744,                0.65805,                0.39629,                  2.952,                 1.8871,                 2.1235,             0.00043227,             0.00043227,             0.00043227
                     20,                  2.903,                 2.0638,                  2.088,                0.67713,                0.61879,                0.68703,                0.41562,                 2.9452,                 1.7822,                 2.0972,             0.00042706,             0.00042706,             0.00042706
                     21,                 2.9144,                 2.0581,                 2.0879,                 0.6423,                0.66955,                0.68687,                0.41081,                 2.9422,                 1.8131,                 2.1185,             0.00042185,             0.00042185,             0.00042185
                     22,                 2.8894,                 2.0139,                 2.0812,                0.60505,                0.68906,                0.68048,                 0.4031,                 2.9144,                 1.8012,                 2.1102,             0.00041664,             0.00041664,             0.00041664
                     23,                 2.8399,                 1.9593,                 2.0555,                0.70198,                0.64789,                0.70528,                0.42558,                 2.9252,                 1.7511,                 2.1051,             0.00041144,             0.00041144,             0.00041144
                     24,                 2.8851,                 1.9681,                 2.0734,                 0.7626,                0.66072,                0.73723,                0.44474,                 2.8506,                 1.7546,                 2.0868,             0.00040623,             0.00040623,             0.00040623
                     25,                 2.8606,                 1.9121,                 2.0519,                0.72358,                0.64221,                0.71029,                0.43139,                 2.9158,                  1.718,                  2.106,             0.00040102,             0.00040102,             0.00040102
                     26,                 2.8203,                 1.8759,                 2.0531,                0.68619,                0.69986,                0.72215,                  0.423,                 2.9491,                 1.7069,                 2.1053,             0.00039581,             0.00039581,             0.00039581
                     27,                 2.8009,                 1.8714,                 2.0454,                0.74535,                0.69428,                0.74927,                0.42872,                 2.9123,                  1.662,                 2.1068,             0.00039061,             0.00039061,             0.00039061
                     28,                 2.7743,                 1.8234,                 2.0361,                 0.7415,                0.61944,                0.72145,                0.44232,                 2.8544,                  1.665,                 2.1061,              0.0003854,              0.0003854,              0.0003854
                     29,                 2.7885,                 1.8296,                 2.0477,                0.71769,                 0.6724,                0.72514,                0.44158,                  2.896,                 1.6244,                  2.099,             0.00038019,             0.00038019,             0.00038019
                     30,                 2.7997,                 1.8058,                 2.0476,                0.70157,                0.71285,                0.74133,                0.43935,                 2.9572,                 1.6517,                 2.1215,             0.00037499,             0.00037499,             0.00037499
                     31,                 2.7741,                 1.7935,                 2.0292,                0.69944,                0.70941,                0.74919,                0.45227,                 2.8853,                  1.682,                 2.0881,             0.00036978,             0.00036978,             0.00036978
                     32,                 2.7642,                  1.778,                 2.0497,                0.75429,                0.68211,                0.75757,                0.45936,                 2.9196,                 1.6027,                 2.1003,             0.00036457,             0.00036457,             0.00036457
                     33,                 2.7361,                 1.7609,                 2.0266,                0.71207,                0.67853,                0.73217,                0.44491,                 2.9224,                 1.6123,                 2.1131,             0.00035936,             0.00035936,             0.00035936
                     34,                 2.7452,                 1.7569,                 2.0323,                0.70029,                0.73183,                0.73867,                0.44735,                 2.9441,                 1.6645,                  2.128,             0.00035416,             0.00035416,             0.00035416
                     35,                 2.7333,                 1.7159,                  2.011,                0.70314,                0.70981,                0.74305,                0.44951,                 2.8983,                 1.6493,                    2.1,             0.00034895,             0.00034895,             0.00034895
                     36,                 2.7077,                 1.7232,                 2.0154,                0.72021,                0.69306,                0.75377,                0.45758,                 2.8578,                 1.6123,                 2.0959,             0.00034374,             0.00034374,             0.00034374
                     37,                 2.7634,                 1.7124,                 2.0228,                0.71463,                0.71114,                0.74725,                0.44924,                 2.8891,                 1.5993,                 2.0747,             0.00033853,             0.00033853,             0.00033853
                     38,                 2.7177,                 1.6931,                 2.0253,                0.73096,                0.69826,                 0.7512,                0.45683,                 2.8209,                 1.5371,                 2.0649,             0.00033333,             0.00033333,             0.00033333
                     39,                 2.7061,                 1.6593,                 2.0057,                0.76746,                0.69271,                0.76186,                0.46748,                 2.8472,                 1.5721,                  2.076,             0.00032812,             0.00032812,             0.00032812
