                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.4534,                 1.1683,                 2.0756,                0.81235,                0.80555,                0.86619,                0.53806,                 2.7561,                 1.2514,                 2.2597,             0.00035936,             0.00035936,             0.00035936
                     34,                 2.4522,                  1.146,                 2.0785,                 0.7864,                0.83987,                0.85412,                0.55124,                 2.8028,                  1.273,                 2.2882,             0.00035416,             0.00035416,             0.00035416
                     35,                 2.4162,                 1.1256,                 2.0456,                0.81484,                0.78424,                 0.8401,                0.53942,                 2.7448,                 1.3093,                 2.2791,             0.00034895,             0.00034895,             0.00034895
                     36,                 2.3917,                 1.1286,                 2.0536,                0.81274,                0.80286,                0.84316,                 0.5418,                 2.7462,                 1.2731,                 2.2787,             0.00034374,             0.00034374,             0.00034374
                     37,                  2.419,                 1.1303,                 2.0517,                0.79085,                0.81645,                0.83552,                0.53171,                 2.8294,                 1.2592,                 2.3202,             0.00033853,             0.00033853,             0.00033853
                     38,                 2.4076,                 1.1103,                 2.0672,                0.81714,                 0.7737,                0.83401,                0.54048,                 2.8314,                 1.2713,                 2.3248,             0.00033333,             0.00033333,             0.00033333
                     39,                 2.3926,                 1.0924,                  2.042,                0.81771,                 0.7979,                0.84484,                0.55033,                 2.7445,                 1.2443,                 2.3003,             0.00032812,             0.00032812,             0.00032812
                     40,                 2.3324,                 1.0784,                  2.029,                 0.8307,                0.82282,                0.86547,                0.56035,                 2.7046,                 1.2403,                 2.2708,             0.00032291,             0.00032291,             0.00032291
                     41,                 2.3455,                 1.0868,                 2.0256,                0.82418,                0.82361,                0.85868,                0.55027,                 2.6905,                 1.1946,                  2.258,              0.0003177,              0.0003177,              0.0003177
                     42,                 2.3548,                 1.0758,                 2.0325,                0.83013,                0.81899,                0.86534,                0.55484,                 2.8097,                  1.289,                 2.3419,              0.0003125,              0.0003125,              0.0003125
                     43,                 2.3185,                 1.0717,                  2.022,                0.83211,                0.77468,                0.85622,                0.54821,                 2.7233,                 1.1716,                 2.2694,             0.00030729,             0.00030729,             0.00030729
                     44,                 2.3282,                 1.0588,                 2.0346,                0.84108,                0.81834,                0.86912,                0.54217,                 2.7494,                 1.2092,                 2.2895,             0.00030208,             0.00030208,             0.00030208
                     45,                 2.3049,                 1.0435,                 2.0166,                 0.8188,                0.84388,                0.85865,                0.54533,                 2.7575,                 1.2184,                 2.2666,             0.00029687,             0.00029687,             0.00029687
                     46,                 2.2804,                 1.0433,                 2.0048,                0.81411,                0.82591,                0.86163,                0.56376,                 2.7004,                 1.2147,                 2.2701,             0.00029167,             0.00029167,             0.00029167
                     47,                 2.2809,                 1.0404,                 2.0098,                0.85942,                0.79688,                0.87011,                0.56727,                 2.7385,                  1.226,                 2.3103,             0.00028646,             0.00028646,             0.00028646
                     48,                  2.293,                 1.0426,                 1.9961,                 0.8523,                0.82858,                0.87779,                0.58126,                 2.7181,                   1.25,                 2.2675,             0.00028125,             0.00028125,             0.00028125
                     49,                 2.2475,                 1.0342,                 1.9982,                0.82226,                0.81978,                0.86381,                0.57276,                 2.6953,                 1.1885,                 2.2659,             0.00027604,             0.00027604,             0.00027604
                     50,                 2.2641,                 1.0172,                  2.005,                0.83156,                0.83251,                0.87777,                0.56441,                 2.7153,                  1.225,                  2.292,             0.00027084,             0.00027084,             0.00027084
                     51,                 2.2179,                 1.0061,                 1.9757,                0.85453,                0.81829,                0.87659,                0.56843,                 2.7208,                 1.2489,                 2.2738,             0.00026563,             0.00026563,             0.00026563
                     52,                 2.1825,                 1.0035,                 1.9722,                0.86022,                0.81072,                0.87832,                0.56774,                 2.7216,                 1.2114,                 2.2635,             0.00026042,             0.00026042,             0.00026042
                     53,                  2.205,                0.99573,                 1.9826,                0.80951,                0.83746,                0.86672,                0.57083,                 2.7452,                 1.2398,                 2.2342,             0.00025522,             0.00025522,             0.00025522
                     54,                  2.196,                0.99322,                 1.9667,                0.87399,                0.83628,                0.88516,                0.57546,                 2.7382,                 1.1435,                 2.2427,             0.00025001,             0.00025001,             0.00025001
                     55,                 2.1768,                0.98841,                 1.9498,                0.88167,                0.80893,                0.87736,                0.58457,                 2.7292,                 1.1797,                 2.2307,              0.0002448,              0.0002448,              0.0002448
                     56,                 2.1446,                 0.9743,                 1.9482,                0.82297,                0.85413,                0.87333,                0.57513,                 2.7207,                 1.2066,                 2.2697,             0.00023959,             0.00023959,             0.00023959
                     57,                  2.173,                0.96879,                 1.9481,                0.84281,                 0.8097,                0.87151,                0.56476,                 2.6994,                 1.1777,                 2.2612,             0.00023439,             0.00023439,             0.00023439
                     58,                 2.1383,                0.95885,                 1.9472,                0.79926,                 0.8783,                0.87839,                0.56338,                 2.7708,                 1.2172,                 2.3345,             0.00022918,             0.00022918,             0.00022918
                     59,                  2.101,                0.93462,                 1.9387,                0.80795,                0.85998,                0.88464,                0.56834,                 2.7382,                 1.2163,                 2.2726,             0.00022397,             0.00022397,             0.00022397
                     60,                 2.1044,                0.93439,                 1.9348,                0.84669,                0.84472,                0.88582,                0.57257,                 2.7408,                 1.1849,                 2.2713,             0.00021876,             0.00021876,             0.00021876
                     61,                 2.0955,                0.92925,                 1.9288,                0.84057,                0.85511,                0.88207,                0.57287,                 2.7147,                 1.1656,                 2.2658,             0.00021356,             0.00021356,             0.00021356
