                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3208,                 8.1409,                 4.9185,                0.03547,                0.34071,                0.05873,                0.02511,                 4.9015,                 7.3297,                 5.8426,             0.00017255,             0.00017255,             0.00017255
                      2,                 3.2853,                 6.9622,                 4.0854,                0.82057,                0.09947,                0.12461,                  0.054,                 4.8224,                 5.9301,                 5.8374,             0.00034444,             0.00034444,             0.00034444
                      3,                 3.2255,                 6.0101,                 4.1131,                0.71776,                0.15424,                0.12727,                0.06621,                 4.6429,                 5.4993,                 5.9055,             0.00051286,             0.00051286,             0.00051286
                      4,                  3.127,                 5.4529,                 4.0567,                0.72292,                0.14957,                 0.1391,                0.06312,                 4.8772,                 5.2725,                  6.092,             0.00051038,             0.00051038,             0.00051038
                      5,                 2.9577,                 5.0923,                  3.918,                0.51799,                 0.2428,                0.18033,                0.09779,                 4.6348,                 4.9857,                 5.8578,             0.00050517,             0.00050517,             0.00050517
                      6,                  2.869,                 4.8327,                 3.8331,                 0.4541,                 0.2713,                0.21239,                0.11514,                 4.4265,                 4.4864,                 6.0608,             0.00049996,             0.00049996,             0.00049996
                      7,                 2.8519,                 4.6667,                 3.7985,                0.45597,                0.27887,                0.22387,                0.12892,                 4.3548,                 4.3019,                 5.8803,             0.00049476,             0.00049476,             0.00049476
                      8,                 2.7937,                 4.5066,                 3.7404,                 0.4458,                0.32145,                 0.2765,                0.17184,                 4.1996,                 3.9345,                 5.8183,             0.00048955,             0.00048955,             0.00048955
                      9,                  2.719,                 4.3484,                 3.6731,                0.41914,                0.31155,                0.26168,                0.16813,                 4.1795,                 3.7552,                 5.5736,             0.00048434,             0.00048434,             0.00048434
                     10,                 2.6858,                 4.2234,                 3.6286,                0.50956,                0.29405,                0.28825,                0.19068,                 4.0043,                 3.8113,                 5.5165,             0.00047913,             0.00047913,             0.00047913
                     11,                 2.6537,                 4.1002,                 3.5963,                0.37868,                0.31301,                0.29523,                0.19683,                 4.0432,                 3.7085,                 5.6708,             0.00047393,             0.00047393,             0.00047393
                     12,                 2.6007,                 4.0208,                 3.5574,                0.47109,                0.34435,                0.32748,                0.21649,                 4.0045,                 3.4644,                 5.5414,             0.00046872,             0.00046872,             0.00046872
                     13,                 2.5457,                  3.944,                 3.5118,                0.40211,                0.37219,                0.35703,                0.24093,                 3.8937,                 3.5219,                 5.4643,             0.00046351,             0.00046351,             0.00046351
                     14,                 2.5471,                 3.8729,                 3.4888,                0.46811,                 0.3917,                 0.3595,                0.24236,                 3.8694,                 3.4235,                 5.5407,              0.0004583,              0.0004583,              0.0004583
                     15,                 2.4759,                 3.7477,                 3.4634,                0.52799,                0.37792,                0.39071,                0.27944,                  3.832,                 3.1681,                 5.4747,              0.0004531,              0.0004531,              0.0004531
                     16,                 2.4825,                 3.7229,                  3.436,                0.51064,                0.34309,                0.36692,                0.25679,                 3.8624,                 3.3079,                 5.4036,             0.00044789,             0.00044789,             0.00044789
                     17,                 2.4354,                  3.613,                 3.3908,                0.58336,                0.36456,                0.39963,                0.26883,                 3.7697,                 3.1173,                 5.2973,             0.00044268,             0.00044268,             0.00044268
                     18,                 2.4561,                 3.5967,                 3.4165,                0.61193,                0.37736,                0.41837,                0.28787,                 3.8346,                 3.1439,                 5.3074,             0.00043747,             0.00043747,             0.00043747
                     19,                 2.4506,                 3.5535,                 3.4078,                0.57693,                0.34696,                0.41683,                0.29042,                 3.8139,                 3.2522,                 5.4492,             0.00043227,             0.00043227,             0.00043227
                     20,                 2.3925,                 3.4819,                 3.3522,                0.53265,                0.47167,                0.46244,                0.33214,                 3.9321,                 3.0949,                 5.6654,             0.00042706,             0.00042706,             0.00042706
                     21,                 2.3727,                 3.4099,                 3.3343,                0.60271,                0.40574,                0.43964,                0.32008,                  3.767,                 2.9967,                 5.2934,             0.00042185,             0.00042185,             0.00042185
                     22,                  2.396,                 3.4223,                  3.345,                0.55902,                0.39866,                0.43992,                0.31478,                 3.7391,                 3.0592,                 5.2584,             0.00041664,             0.00041664,             0.00041664
                     23,                  2.328,                 3.3074,                 3.2805,                0.57705,                0.43895,                 0.4779,                0.34421,                  3.685,                 2.9371,                 5.3171,             0.00041144,             0.00041144,             0.00041144
                     24,                 2.3561,                 3.2675,                 3.3169,                0.60323,                0.46888,                0.49596,                0.36857,                 3.5454,                 2.8418,                 5.1578,             0.00040623,             0.00040623,             0.00040623
                     25,                 2.2746,                 3.1769,                 3.2336,                0.58253,                0.45938,                0.47727,                0.34942,                 3.8726,                  2.786,                 5.4626,             0.00040102,             0.00040102,             0.00040102
                     26,                 2.2856,                 3.1811,                 3.2563,                0.57087,                0.48476,                0.50442,                0.37336,                 3.5412,                 2.7901,                  5.224,             0.00039581,             0.00039581,             0.00039581
                     27,                  2.281,                 3.1719,                 3.2354,                0.58963,                0.47266,                0.51326,                 0.3804,                 3.6168,                 2.8349,                 5.3121,             0.00039061,             0.00039061,             0.00039061
                     28,                 2.2423,                 3.0892,                 3.2116,                0.60918,                0.45335,                0.51796,                0.38639,                 3.5135,                 2.6476,                 5.2165,              0.0003854,              0.0003854,              0.0003854
                     29,                 2.2628,                  3.099,                 3.2325,                0.55952,                0.49978,                0.53779,                 0.3982,                 3.5535,                 2.6864,                 5.1695,             0.00038019,             0.00038019,             0.00038019
                     30,                 2.2427,                 3.0536,                 3.2185,                0.55994,                0.46411,                0.49871,                  0.372,                 3.5953,                 2.7611,                 5.3603,             0.00037499,             0.00037499,             0.00037499
                     31,                 2.1846,                 2.9897,                 3.1657,                 0.6215,                0.48996,                 0.5352,                0.40081,                 3.4927,                 2.6292,                 5.3012,             0.00036978,             0.00036978,             0.00036978
                     32,                 2.1919,                 3.0456,                   3.17,                0.61138,                0.50819,                  0.527,                0.38739,                  3.587,                 2.5074,                 5.3104,             0.00036457,             0.00036457,             0.00036457
                     33,                 2.1808,                 3.0023,                 3.1713,                0.65543,                0.44357,                0.55522,                0.42269,                 3.5534,                 2.5277,                 5.2362,             0.00035936,             0.00035936,             0.00035936
                     34,                 2.1848,                 2.9866,                 3.1572,                0.59199,                0.50724,                0.52995,                0.40682,                 3.5095,                 2.6018,                 5.2189,             0.00035416,             0.00035416,             0.00035416
                     35,                 2.1446,                 2.8792,                   3.12,                0.66828,                0.48915,                0.54959,                0.42697,                 3.4988,                 2.6068,                 5.2788,             0.00034895,             0.00034895,             0.00034895
                     36,                 2.1629,                 2.9135,                 3.1457,                0.59351,                0.48091,                0.54018,                0.41654,                 3.4538,                 2.5075,                 5.1205,             0.00034374,             0.00034374,             0.00034374
                     37,                  2.137,                 2.8477,                 3.1166,                0.57612,                0.50947,                0.54239,                0.41488,                 3.3476,                 2.5111,                 4.9896,             0.00033853,             0.00033853,             0.00033853
                     38,                  2.123,                 2.8537,                  3.126,                0.58813,                0.53561,                0.55535,                0.43051,                 3.3631,                 2.4825,                 5.1081,             0.00033333,             0.00033333,             0.00033333
                     39,                 2.0732,                 2.7818,                 3.0813,                0.56909,                 0.5292,                0.55127,                 0.4315,                 3.3028,                 2.4439,                 4.9739,             0.00032812,             0.00032812,             0.00032812
